gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	bh_family	block	p_BH_across_genes
COL4A1	expr	TRUE	Pericytes - AT1	1.77271519046227	0.0765910226990879	2138.00014062495	-23.1452085112761	1.05408546065557e-105	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	4.07298621997313e-105
COL4A1	expr	TRUE	Pericytes - AT2_AGTR2det	3.16425322189101	0.0878467448411574	2144.56054806365	-36.0201533660985	3.08983074886368e-222	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	2.61822500298449e-221
COL4A1	expr	TRUE	Pericytes - AT2_AGTR2undet	3.09493308403995	0.0776842174000541	2194.35872366275	-39.8399209983904	5.09856537242635e-261	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.11936685221906e-259
COL4A1	expr	TRUE	Pericytes - Adventitial fibroblasts	2.15798238078873	0.0809274346574992	2180.02578097015	-26.6656466984495	1.67693797397689e-135	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	7.64114190029092e-135
COL4A1	expr	TRUE	Pericytes - Alveolar fibroblasts	1.69134304248013	0.0787769212944454	2127.58169008486	-21.4700322719948	1.53274841144647e-92	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	5.56629686262141e-92
COL4A1	expr	TRUE	Pericytes - Alveolar macrophages	3.07055979651231	0.077511736565274	2197.08236740149	-39.6141272609283	5.7039325272222e-259	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.05961515794166e-257
COL4A1	expr	TRUE	Pericytes - Classical monocytes	3.03783383455577	0.0737224091917097	2148.33632889089	-41.2063830775811	3.60505517739156e-273	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.33941665436932e-271
COL4A1	expr	TRUE	Pericytes - DC2	3.06181751664346	0.0744997538740228	2171.21007020405	-41.0983574767363	6.62516949072263e-273	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	2.28568347429931e-271
COL4A1	expr	TRUE	Pericytes - EC aerocyte capillary	1.42241399586653	0.0819110783182124	2118.38913280374	-17.3653433097373	4.11865754117009e-63	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.30875762656918e-62
COL4A1	expr	TRUE	Pericytes - EC general capillary	0.793895205095466	0.0766177189381424	2124.59918832618	-10.3617703071586	1.40891634072243e-24	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	2.39614997383428e-24
COL4A1	expr	TRUE	Pericytes - EC venous pulmonary	2.01363145854424	0.0796842444978991	2139.67707315951	-25.2701330260755	3.09479113817844e-123	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.2775932647352e-122
COL4A1	expr	TRUE	Pericytes - EC venous systemic	1.32124424422905	0.0819409316390738	2159.64862965047	-16.1243497944196	3.16355480631954e-55	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	9.31705470397766e-55
COL4A1	expr	TRUE	Pericytes - Interstitial macrophages	3.10596365478011	0.0753771535932926	2197.72017798211	-41.2056373412394	3.55957190530418e-274	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.56297566387447e-272
COL4A1	expr	TRUE	Pericytes - Lymphatic EC	1.68555627512722	0.0775453630358058	2144.91836642479	-21.7363902771198	1.23920451382726e-94	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	4.56897542121043e-94
COL4A1	expr	TRUE	Pericytes - Mast cells	3.0368896821209	0.0763186712195104	2146.90482769684	-39.7922242826542	2.55937749129738e-259	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	5.15074720123598e-258
COL4A1	expr	TRUE	Pericytes - Myofibroblasts	1.39238888373064	0.101242758416628	2120.84899290173	-13.7529726126264	3.0232476724644e-41	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	6.69829644862525e-41
COL4A1	expr	TRUE	Pericytes - (Non-classical monocytes)	3.13670741631248	0.0761623734934225	2171.67327692785	-41.1844756464079	1.75022086506239e-273	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	7.04463898187613e-272
COL4A1	expr	TRUE	Pericytes - Peribronchial fibroblasts	1.5405914838503	0.0889413520204412	2157.81464489764	-17.3214309075966	6.39927245602451e-63	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	2.02016248121558e-62
COL4A1	expr	TRUE	Pericytes - Subpleural fibroblasts	2.40179848471109	0.174907543701189	2164.98936697313	-13.7318175870923	3.47718266722436e-41	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	7.66885492360441e-41
COL4A1	expr	TRUE	Pericytes - (Transitional Club-AT2)	3.14277357786254	0.0806858865384626	2174.81122639069	-38.9507225202811	8.30862797265225e-252	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.33768910359701e-250
COL4A1	expr	TRUE	Pericytes - Vascular smooth muscle	1.1885472562931	0.0813916253649977	2131.40882031773	-14.6028200194198	4.90564196176471e-46	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	original_panel	basement_membrane	1.16720446676471e-45
COL4A2	expr	TRUE	Pericytes - AT1	1.24725874731237	0.0808899031090738	2136.87063869357	-15.4192142575637	9.10242704725418e-51	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	2.4424845910132e-50
COL4A2	expr	TRUE	Pericytes - AT2_AGTR2det	3.01923177399668	0.0928300033851035	2144.82699884425	-32.5243096401866	1.31080338342761e-188	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	7.72095163653094e-188
COL4A2	expr	TRUE	Pericytes - AT2_AGTR2undet	2.96218935791375	0.0820760561743236	2193.64123631736	-36.0907857417305	9.14566528113911e-224	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	7.88813630498248e-223
COL4A2	expr	TRUE	Pericytes - Adventitial fibroblasts	1.93531799176928	0.0854865739833865	2179.07487371287	-22.6388531156412	9.18770569830603e-102	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	3.49422193093056e-101
COL4A2	expr	TRUE	Pericytes - Alveolar fibroblasts	1.64825233591088	0.0831955396537871	2126.60374990175	-19.8117872997757	4.28275625067516e-80	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	1.49896468773631e-79
COL4A2	expr	TRUE	Pericytes - Alveolar macrophages	2.93617040254788	0.0819106679472909	2196.80418955295	-35.8460073166208	1.73092811074446e-221	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	1.39339712914929e-220
COL4A2	expr	TRUE	Pericytes - Classical monocytes	2.9861110475213	0.0778641505789293	2147.20997296588	-38.3502680671298	3.06827379446024e-244	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	4.35875365507146e-243
COL4A2	expr	TRUE	Pericytes - DC2	2.96531072501879	0.0787101275871029	2170.65482916733	-37.6738142335914	2.04995437984973e-238	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	2.60559990912478e-237
